Date,Close,Volume,Open,High,Low,Year,Month,Quarter,DayOfWeek
2025-05-03,0.6974986414291682,606872856.4955413,0.6974986414291682,0.6974986414291682,0.6974986414291682,2025,5,2,5
2025-05-04,0.7013467253059199,752443709.4776694,0.7013467253059199,0.7013467253059199,0.7013467253059199,2025,5,2,6
2025-05-05,0.6763756494805502,661246645.056914,0.6763756494805502,0.6763756494805502,0.6763756494805502,2025,5,2,0
2025-05-06,0.6631639151504879,664925434.1708654,0.6631639151504879,0.6631639151504879,0.6631639151504879,2025,5,2,1
2025-05-07,0.6787761903074216,552471849.9156157,0.6787761903074216,0.6787761903074216,0.6787761903074216,2025,5,2,2
2025-05-08,0.671376495581957,582536184.2563542,0.671376495581957,0.671376495581957,0.671376495581957,2025,5,2,3
2025-05-09,0.7651537464755499,1355272025.0992892,0.7651537464755499,0.7651537464755499,0.7651537464755499,2025,5,2,4
2025-05-10,0.7773024778174161,1491055749.585572,0.7773024778174161,0.7773024778174161,0.7773024778174161,2025,5,2,5
2025-05-11,0.8400596557571808,1390682398.3795056,0.8400596557571808,0.8400596557571808,0.8400596557571808,2025,5,2,6
2025-05-12,0.8048629924679394,1096359924.9786,0.8048629924679394,0.8048629924679394,0.8048629924679394,2025,5,2,0
2025-05-13,0.8191103769126542,1891364013.690922,0.8191103769126542,0.8191103769126542,0.8191103769126542,2025,5,2,1
2025-05-14,0.8312541090164433,1249623977.9694462,0.8312541090164433,0.8312541090164433,0.8312541090164433,2025,5,2,2
2025-05-15,0.7985815955519888,1166899569.1134908,0.7985815955519888,0.7985815955519888,0.7985815955519888,2025,5,2,3
2025-05-16,0.760909266948887,1032947704.5832616,0.760909266948887,0.760909266948887,0.760909266948887,2025,5,2,4
2025-05-17,0.7605802350885046,777814627.6177915,0.7605802350885046,0.7605802350885046,0.7605802350885046,2025,5,2,5
2025-05-18,0.7424784161936966,906498912.2572886,0.7424784161936966,0.7424784161936966,0.7424784161936966,2025,5,2,6
2025-05-19,0.7518394820880364,949005467.3644464,0.7518394820880364,0.7518394820880364,0.7518394820880364,2025,5,2,0
2025-05-20,0.7426046048097757,855716668.7541951,0.7426046048097757,0.7426046048097757,0.7426046048097757,2025,5,2,1
2025-05-21,0.7456441858290309,690998975.7792397,0.7456441858290309,0.7456441858290309,0.7456441858290309,2025,5,2,2
2025-05-22,0.772065003489696,1077168981.202006,0.772065003489696,0.772065003489696,0.772065003489696,2025,5,2,3
2025-05-23,0.8077548195843751,1069425848.6042526,0.8077548195843751,0.8077548195843751,0.8077548195843751,2025,5,2,4
2025-05-24,0.748254247966839,1417851508.940276,0.748254247966839,0.748254247966839,0.748254247966839,2025,5,2,5
2025-05-25,0.7460261925160765,630031485.6921482,0.7460261925160765,0.7460261925160765,0.7460261925160765,2025,5,2,6
2025-05-26,0.7589761692612583,673782320.823423,0.7589761692612583,0.7589761692612583,0.7589761692612583,2025,5,2,0
2025-05-27,0.7582470752465925,588809796.8894885,0.7582470752465925,0.7582470752465925,0.7582470752465925,2025,5,2,1
2025-05-28,0.7578018172885506,652902725.7086877,0.7578018172885506,0.7578018172885506,0.7578018172885506,2025,5,2,2
2025-05-29,0.7465205662397495,546997351.279757,0.7465205662397495,0.7465205662397495,0.7465205662397495,2025,5,2,3
2025-05-30,0.724272085506191,649806532.9053063,0.724272085506191,0.724272085506191,0.724272085506191,2025,5,2,4
2025-05-31,0.6912614352706643,935627012.618067,0.6912614352706643,0.6912614352706643,0.6912614352706643,2025,5,2,5
2025-06-01,0.6863035406713839,721005660.5061203,0.6863035406713839,0.6863035406713839,0.6863035406713839,2025,6,2,6
2025-06-02,0.6853559510305921,524853161.2361533,0.6853559510305921,0.6853559510305921,0.6853559510305921,2025,6,2,0
2025-06-03,0.6900620402912112,570636794.5706515,0.6900620402912112,0.6900620402912112,0.6900620402912112,2025,6,2,1
2025-06-04,0.684833771475063,494639383.16412145,0.684833771475063,0.684833771475063,0.684833771475063,2025,6,2,2
2025-06-05,0.6662352525151268,400096118.0279466,0.6662352525151268,0.6662352525151268,0.6662352525151268,2025,6,2,3
2025-06-06,0.6279989717216173,759754191.8443644,0.6279989717216173,0.6279989717216173,0.6279989717216173,2025,6,2,4
2025-06-07,0.6564156318236438,579132039.6493936,0.6564156318236438,0.6564156318236438,0.6564156318236438,2025,6,2,5
2025-06-08,0.665097118031322,345182718.07783103,0.665097118031322,0.665097118031322,0.665097118031322,2025,6,2,6
2025-06-09,0.6696475032429187,445907844.38359064,0.6696475032429187,0.6696475032429187,0.6696475032429187,2025,6,2,0
2025-06-10,0.7051927875959849,556699781.999879,0.7051927875959849,0.7051927875959849,0.7051927875959849,2025,6,2,1
2025-06-11,0.7161084051691045,816441834.7804779,0.7161084051691045,0.7161084051691045,0.7161084051691045,2025,6,2,2
2025-06-12,0.6978609557770317,650490779.2528718,0.6978609557770317,0.6978609557770317,0.6978609557770317,2025,6,2,3
2025-06-13,0.6645616396607636,644736788.8081536,0.6645616396607636,0.6645616396607636,0.6645616396607636,2025,6,2,4
2025-06-14,0.6415287116259395,967144196.2984973,0.6415287116259395,0.6415287116259395,0.6415287116259395,2025,6,2,5
2025-06-15,0.6249531411165467,377703624.01002413,0.6249531411165467,0.6249531411165467,0.6249531411165467,2025,6,2,6
2025-06-16,0.6338091675682362,306474152.5964094,0.6338091675682362,0.6338091675682362,0.6338091675682362,2025,6,2,0
