Date,Close,Volume,Open,High,Low,Year,Month,Quarter,DayOfWeek
2025-05-13,174.41950190990173,8002629811.569619,174.41950190990173,174.41950190990173,174.41950190990173,2025,5,2,1
2025-05-14,184.05379777179434,6287498118.264789,184.05379777179434,184.05379777179434,184.05379777179434,2025,5,2,2
2025-05-15,176.45507175799847,5807895946.602451,176.45507175799847,176.45507175799847,176.45507175799847,2025,5,2,3
2025-05-16,168.75269732863256,5419257075.786196,168.75269732863256,168.75269732863256,168.75269732863256,2025,5,2,4
2025-05-17,167.76812404954248,4389549581.69855,167.76812404954248,167.76812404954248,167.76812404954248,2025,5,2,5
2025-05-18,165.9394166641985,3269429713.7712717,165.9394166641985,165.9394166641985,165.9394166641985,2025,5,2,6
2025-05-19,171.54067495745267,4719647862.73409,171.54067495745267,171.54067495745267,171.54067495745267,2025,5,2,0
2025-05-20,166.7148813421899,4917489419.353307,166.7148813421899,166.7148813421899,166.7148813421899,2025,5,2,1
2025-05-21,168.38572912424627,4723025924.7160635,168.38572912424627,168.38572912424627,168.38572912424627,2025,5,2,2
2025-05-22,173.96771434765478,6215139156.977671,173.96771434765478,173.96771434765478,173.96771434765478,2025,5,2,3
2025-05-23,179.57884486750282,5820960214.759074,179.57884486750282,179.57884486750282,179.57884486750282,2025,5,2,4
2025-05-24,174.43566967519817,8631193319.547667,174.43566967519817,174.43566967519817,174.43566967519817,2025,5,2,5
2025-05-25,175.9976176396849,3543822748.1900992,175.9976176396849,175.9976176396849,175.9976176396849,2025,5,2,6
2025-05-26,175.13203918726265,3915382381.155895,175.13203918726265,175.13203918726265,175.13203918726265,2025,5,2,0
2025-05-27,174.71672204451494,3202505989.7881603,174.71672204451494,174.71672204451494,174.71672204451494,2025,5,2,1
2025-05-28,176.57784495904014,4151034839.0818906,176.57784495904014,176.57784495904014,176.57784495904014,2025,5,2,2
2025-05-29,172.12073410994773,3798038676.2862353,172.12073410994773,172.12073410994773,172.12073410994773,2025,5,2,3
2025-05-30,166.83894593726552,3849498974.469161,166.83894593726552,166.83894593726552,166.83894593726552,2025,5,2,4
2025-05-31,156.51262963204462,4811893138.165595,156.51262963204462,156.51262963204462,156.51262963204462,2025,5,2,5
2025-06-01,156.86968538083693,3067057498.6570454,156.86968538083693,156.86968538083693,156.86968538083693,2025,6,2,6
2025-06-02,157.63092185153255,2744309615.2839994,157.63092185153255,157.63092185153255,157.63092185153255,2025,6,2,0
2025-06-03,156.97126157615844,3295032805.67504,156.97126157615844,156.97126157615844,156.97126157615844,2025,6,2,1
2025-06-04,155.57609294535118,4001215457.270695,155.57609294535118,155.57609294535118,155.57609294535118,2025,6,2,2
2025-06-05,153.52933334658826,2894328554.847466,153.52933334658826,153.52933334658826,153.52933334658826,2025,6,2,3
2025-06-06,144.54778524030908,5147783563.002369,144.54778524030908,144.54778524030908,144.54778524030908,2025,6,2,4
2025-06-07,148.27289869882955,3081994292.815606,148.27289869882955,148.27289869882955,148.27289869882955,2025,6,2,5
2025-06-08,150.07536034230216,2061571442.4994385,150.07536034230216,150.07536034230216,150.07536034230216,2025,6,2,6
2025-06-09,152.50446458828966,2132215310.9007103,152.50446458828966,152.50446458828966,152.50446458828966,2025,6,2,0
2025-06-10,161.15980951265985,4008837628.698958,161.15980951265985,161.15980951265985,161.15980951265985,2025,6,2,1
2025-06-11,164.9644225697288,5347282400.770432,164.9644225697288,164.9644225697288,164.9644225697288,2025,6,2,2
2025-06-12,161.01986639557893,5796688364.492554,161.01986639557893,161.01986639557893,161.01986639557893,2025,6,2,3
2025-06-13,152.6604566097001,3971540185.958896,152.6604566097001,152.6604566097001,152.6604566097001,2025,6,2,4
2025-06-14,148.53042859104298,6899166919.424324,148.53042859104298,148.53042859104298,148.53042859104298,2025,6,2,5
2025-06-15,144.75154594223267,2347896839.3558106,144.75154594223267,144.75154594223267,144.75154594223267,2025,6,2,6
2025-06-16,152.684889859998,3899774764.538459,152.684889859998,152.684889859998,152.684889859998,2025,6,2,0
2025-06-17,151.43554856186984,5091508004.197791,151.43554856186984,151.43554856186984,151.43554856186984,2025,6,2,1
2025-06-18,147.99188434299543,5049196750.599356,147.99188434299543,147.99188434299543,147.99188434299543,2025,6,2,2
2025-06-19,146.27697674399295,4140075680.6693616,146.27697674399295,146.27697674399295,146.27697674399295,2025,6,2,3
2025-06-20,147.09924520457085,3317445622.022612,147.09924520457085,147.09924520457085,147.09924520457085,2025,6,2,4
2025-06-21,140.04009054961782,4927733598.47951,140.04009054961782,140.04009054961782,140.04009054961782,2025,6,2,5
2025-06-22,133.71000196412658,3965117683.287045,133.71000196412658,133.71000196412658,133.71000196412658,2025,6,2,6
2025-06-23,131.8134744866569,6034851129.188091,131.8134744866569,131.8134744866569,131.8134744866569,2025,6,2,0
2025-06-24,144.7815680115998,6803245546.166264,144.7815680115998,144.7815680115998,144.7815680115998,2025,6,2,1
2025-06-25,145.8019507474219,4365577695.258674,145.8019507474219,145.8019507474219,145.8019507474219,2025,6,2,2
2025-06-26,143.37011953879949,3632253966.777613,143.37011953879949,143.37011953879949,143.37011953879949,2025,6,2,3
2025-06-27,138.97799072607012,4094443190.4828176,138.97799072607012,138.97799072607012,138.97799072607012,2025,6,2,4
2025-06-28,142.12675809713753,3884472749.8418827,142.12675809713753,142.12675809713753,142.12675809713753,2025,6,2,5
2025-06-29,150.7812372563586,3480663753.86231,150.7812372563586,150.7812372563586,150.7812372563586,2025,6,2,6
2025-06-30,153.31879559308874,3034669713.0257177,153.31879559308874,153.31879559308874,153.31879559308874,2025,6,2,0
2025-07-01,154.9374500694811,5839631136.997528,154.9374500694811,154.9374500694811,154.9374500694811,2025,7,3,1
2025-07-02,146.84115991278014,4180937195.699031,146.84115991278014,146.84115991278014,146.84115991278014,2025,7,3,2
2025-07-03,152.1680329188485,4586707670.749116,152.1680329188485,152.1680329188485,152.1680329188485,2025,7,3,3
2025-07-04,152.28063806980848,4481298325.462197,152.28063806980848,152.28063806980848,152.28063806980848,2025,7,3,4
2025-07-05,147.76302956048175,4122205670.4260592,147.76302956048175,147.76302956048175,147.76302956048175,2025,7,3,5
2025-07-06,147.60067170952217,1854457228.577465,147.60067170952217,147.60067170952217,147.60067170952217,2025,7,3,6
2025-07-07,151.92103968743746,3555730137.1277676,151.92103968743746,151.92103968743746,151.92103968743746,2025,7,3,0
2025-07-08,148.79005045485957,4159999387.584406,148.79005045485957,148.79005045485957,148.79005045485957,2025,7,3,1
2025-07-09,151.83083400485827,4528768718.257452,151.83083400485827,151.83083400485827,151.83083400485827,2025,7,3,2
2025-07-10,157.20772193763892,5340601044.883773,157.20772193763892,157.20772193763892,157.20772193763892,2025,7,3,3
2025-07-11,163.85821380442644,10873010259.89518,163.85821380442644,163.85821380442644,163.85821380442644,2025,7,3,4
2025-07-12,162.75319398002793,15000208185.36994,162.75319398002793,162.75319398002793,162.75319398002793,2025,7,3,5
2025-07-13,160.46917812212587,7427115213.712982,160.46917812212587,160.46917812212587,160.46917812212587,2025,7,3,6
2025-07-14,161.2426294578984,7216327088.3555765,161.2426294578984,161.2426294578984,161.2426294578984,2025,7,3,0
2025-07-15,162.28222240485653,14500503326.7985,162.28222240485653,162.28222240485653,162.28222240485653,2025,7,3,1
2025-07-16,163.96583057213138,12915906103.683296,163.96583057213138,163.96583057213138,163.96583057213138,2025,7,3,2
2025-07-17,173.8289647474319,17811143762.30818,173.8289647474319,173.8289647474319,173.8289647474319,2025,7,3,3
2025-07-18,176.0976453468298,16421519782.114107,176.0976453468298,176.0976453468298,176.0976453468298,2025,7,3,4
2025-07-19,177.36979874415755,18801332820.737236,177.36979874415755,177.36979874415755,177.36979874415755,2025,7,3,5
2025-07-20,176.91082733883786,8109077838.043139,176.91082733883786,176.91082733883786,176.91082733883786,2025,7,3,6
2025-07-21,180.99223128612934,13879156359.595356,180.99223128612934,180.99223128612934,180.99223128612934,2025,7,3,0
2025-07-22,196.42381167802614,23536247199.551838,196.42381167802614,196.42381167802614,196.42381167802614,2025,7,3,1
2025-07-23,205.2909062553001,33288976911.758366,205.2909062553001,205.2909062553001,205.2909062553001,2025,7,3,2
2025-07-24,189.5923023530127,22842746849.566635,189.5923023530127,189.5923023530127,189.5923023530127,2025,7,3,3
2025-07-25,182.56084286755046,19515303060.801735,182.56084286755046,182.56084286755046,182.56084286755046,2025,7,3,4
2025-07-26,186.17182549934944,17804092124.295223,186.17182549934944,186.17182549934944,186.17182549934944,2025,7,3,5
2025-07-27,184.9395837508933,6066268600.664028,184.9395837508933,184.9395837508933,184.9395837508933,2025,7,3,6
2025-07-28,188.5758287219798,7055013487.194188,188.5758287219798,188.5758287219798,188.5758287219798,2025,7,3,0
2025-07-29,183.03025266261037,11859569057.897078,183.03025266261037,183.03025266261037,183.03025266261037,2025,7,3,1
2025-07-30,181.16776459533068,5784849447.910539,181.16776459533068,181.16776459533068,181.16776459533068,2025,7,3,2
2025-07-31,177.8780960276323,6340104641.556541,177.8780960276323,177.8780960276323,177.8780960276323,2025,7,3,3
2025-08-01,172.1630467364299,5648090381.562077,172.1630467364299,172.1630467364299,172.1630467364299,2025,8,3,4
2025-08-02,162.79127248081605,8524308824.141164,162.79127248081605,162.79127248081605,162.79127248081605,2025,8,3,5
2025-08-03,158.53125175932496,3493829006.1178837,158.53125175932496,158.53125175932496,158.53125175932496,2025,8,3,6
2025-08-04,161.90312387611363,3799213534.622081,161.90312387611363,161.90312387611363,161.90312387611363,2025,8,3,0
2025-08-05,169.41522028427192,5184477262.429844,169.41522028427192,169.41522028427192,169.41522028427192,2025,8,3,1
2025-08-06,164.08356857308905,4990165298.964871,164.08356857308905,164.08356857308905,164.08356857308905,2025,8,3,2
2025-08-07,168.1731958529984,3925170891.2100515,168.1731958529984,168.1731958529984,168.1731958529984,2025,8,3,3
2025-08-08,175.3851480311338,4922490352.0849,175.3851480311338,175.3851480311338,175.3851480311338,2025,8,3,4
2025-08-09,176.79535226118225,6314967732.267661,176.79535226118225,176.79535226118225,176.79535226118225,2025,8,3,5
2025-08-10,180.38638312645054,5151414730.8922,180.38638312645054,180.38638312645054,180.38638312645054,2025,8,3,6
2025-08-11,182.9089507475702,6526899522.845935,182.9089507475702,182.9089507475702,182.9089507475702,2025,8,3,0
2025-08-12,175.04512640796176,7218575660.657902,175.04512640796176,175.04512640796176,175.04512640796176,2025,8,3,1
2025-08-13,192.59412792428108,8241598209.651322,192.59412792428108,192.59412792428108,192.59412792428108,2025,8,3,2
2025-08-14,201.8186877395025,12032742881.340282,201.8186877395025,201.8186877395025,201.8186877395025,2025,8,3,3
2025-08-15,192.75680405400084,14504164931.300503,192.75680405400084,192.75680405400084,192.75680405400084,2025,8,3,4
2025-08-16,185.5996951638033,8453295249.345534,185.5996951638033,185.5996951638033,185.5996951638033,2025,8,3,5
2025-08-17,189.76942306167987,4463139739.111394,189.76942306167987,189.76942306167987,189.76942306167987,2025,8,3,6
2025-08-18,191.64098987374877,4337337967.245784,191.64098987374877,191.64098987374877,191.64098987374877,2025,8,3,0
2025-08-19,183.0130381229085,6404055055.139721,183.0130381229085,183.0130381229085,183.0130381229085,2025,8,3,1
2025-08-20,176.4002245667356,6012864665.830554,176.4002245667356,176.4002245667356,176.4002245667356,2025,8,3,2
2025-08-21,187.2669439751863,6232892656.027937,187.2669439751863,187.2669439751863,187.2669439751863,2025,8,3,3
2025-08-22,180.24297051206173,5352469255.969752,180.24297051206173,180.24297051206173,180.24297051206173,2025,8,3,4
2025-08-23,200.2605865005056,10127448099.982841,200.2605865005056,200.2605865005056,200.2605865005056,2025,8,3,5
2025-08-24,204.01931609622184,7707066769.148663,204.01931609622184,204.01931609622184,204.01931609622184,2025,8,3,6
2025-08-25,205.88090746426144,11192452947.414183,205.88090746426144,205.88090746426144,205.88090746426144,2025,8,3,0
2025-08-26,187.18525315161807,12382673799.15369,187.18525315161807,187.18525315161807,187.18525315161807,2025,8,3,1
2025-08-27,195.9857969070515,8074057190.355703,195.9857969070515,195.9857969070515,195.9857969070515,2025,8,3,2
2025-08-28,203.29341765413957,12654160502.675875,203.29341765413957,203.29341765413957,203.29341765413957,2025,8,3,3
2025-08-29,214.54958917125032,12259075336.968056,214.54958917125032,214.54958917125032,214.54958917125032,2025,8,3,4
2025-08-30,205.08335316941142,13457457307.813232,205.08335316941142,205.08335316941142,205.08335316941142,2025,8,3,5
2025-08-31,202.71014197799335,5916828358.740077,202.71014197799335,202.71014197799335,202.71014197799335,2025,8,3,6
2025-09-01,200.90099462282365,5119565154.109434,200.90099462282365,200.90099462282365,200.90099462282365,2025,9,3,0
2025-09-02,196.88381950999033,7408407557.527862,196.88381950999033,196.88381950999033,196.88381950999033,2025,9,3,1
2025-09-03,209.23036715955652,8803333414.35032,209.23036715955652,209.23036715955652,209.23036715955652,2025,9,3,2
2025-09-04,210.678785187558,6956952790.247085,210.678785187558,210.678785187558,210.678785187558,2025,9,3,3
2025-09-05,202.68556246131902,5057527125.787553,202.68556246131902,202.68556246131902,202.68556246131902,2025,9,3,4
2025-09-06,203.47913677981902,7547177831.7062235,203.47913677981902,203.47913677981902,203.47913677981902,2025,9,3,5
2025-09-07,200.18665937035894,2968164693.6168056,200.18665937035894,200.18665937035894,200.18665937035894,2025,9,3,6
2025-09-08,206.51848846856373,4213958987.249966,206.51848846856373,206.51848846856373,206.51848846856373,2025,9,3,0
2025-09-09,214.08956690665315,9970745423.357145,214.08956690665315,214.08956690665315,214.08956690665315,2025,9,3,1
2025-09-10,217.38518604767611,9082166653.74413,217.38518604767611,217.38518604767611,217.38518604767611,2025,9,3,2
2025-09-11,223.9996568751895,9538303334.00484,223.9996568751895,223.9996568751895,223.9996568751895,2025,9,3,3
2025-09-12,228.6994803098487,10115240805.136227,228.6994803098487,228.6994803098487,228.6994803098487,2025,9,3,4
2025-09-13,242.25824628845254,13331440399.44534,242.25824628845254,242.25824628845254,242.25824628845254,2025,9,3,5
2025-09-14,242.6675990847208,7460431580.746429,242.6675990847208,242.6675990847208,242.6675990847208,2025,9,3,6
2025-09-15,240.51910214123612,9641527089.213789,240.51910214123612,240.51910214123612,240.51910214123612,2025,9,3,0
2025-09-16,233.8358169548661,10189245912.076498,233.8358169548661,233.8358169548661,233.8358169548661,2025,9,3,1
2025-09-17,237.00322352946304,7606193246.926102,237.00322352946304,237.00322352946304,237.00322352946304,2025,9,3,2
2025-09-18,244.94703055919837,10904096063.20618,244.94703055919837,244.94703055919837,244.94703055919837,2025,9,3,3
2025-09-19,247.55626201820508,9525238920.41541,247.55626201820508,247.55626201820508,247.55626201820508,2025,9,3,4
2025-09-20,238.33823551145915,7795423019.894011,238.33823551145915,238.33823551145915,238.33823551145915,2025,9,3,5
2025-09-21,239.46337999355012,3643828369.3949914,239.46337999355012,239.46337999355012,239.46337999355012,2025,9,3,6
2025-09-22,236.64867854250417,3625096944.4525175,236.64867854250417,236.64867854250417,236.64867854250417,2025,9,3,0
2025-09-23,220.33692191838946,12282736836.312027,220.33692191838946,220.33692191838946,220.33692191838946,2025,9,3,1
2025-09-24,214.17925267896382,7575651795.115867,214.17925267896382,214.17925267896382,214.17925267896382,2025,9,3,2
2025-09-25,211.59608812684968,8445521212.739207,211.59608812684968,211.59608812684968,211.59608812684968,2025,9,3,3
2025-09-26,192.18165357078567,12016864135.347467,192.18165357078567,192.18165357078567,192.18165357078567,2025,9,3,4
2025-09-27,205.1199454921513,10264035473.466131,205.1199454921513,205.1199454921513,205.1199454921513,2025,9,3,5
2025-09-28,203.5749247337909,4017566336.8666024,203.5749247337909,203.5749247337909,203.5749247337909,2025,9,3,6
2025-09-29,210.7450481378904,4489384967.131298,210.7450481378904,210.7450481378904,210.7450481378904,2025,9,3,0
2025-09-30,212.92955681530267,6935052896.50192,212.92955681530267,212.92955681530267,212.92955681530267,2025,9,3,1
2025-10-01,208.6992944881733,7027033380.102042,208.6992944881733,208.6992944881733,208.6992944881733,2025,10,4,2
2025-10-02,221.2188833389755,8473857082.585505,221.2188833389755,221.2188833389755,221.2188833389755,2025,10,4,3
2025-10-03,234.61674360916186,10240423698.713894,234.61674360916186,234.61674360916186,234.61674360916186,2025,10,4,4
2025-10-04,233.06458024680495,9409846313.93892,233.06458024680495,233.06458024680495,233.06458024680495,2025,10,4,5
2025-10-05,227.93905953905113,4629724693.376066,227.93905953905113,227.93905953905113,227.93905953905113,2025,10,4,6
2025-10-06,228.5443211026712,7161162365.904725,228.5443211026712,228.5443211026712,228.5443211026712,2025,10,4,0
2025-10-07,232.5968012360869,7565905967.514749,232.5968012360869,232.5968012360869,232.5968012360869,2025,10,4,1
2025-10-08,220.92325353514107,9428620255.995054,220.92325353514107,220.92325353514107,220.92325353514107,2025,10,4,2
2025-10-09,229.06280907281337,7378938614.697137,229.06280907281337,229.06280907281337,229.06280907281337,2025,10,4,3
2025-10-10,220.8065008190006,7926447520.068074,220.8065008190006,220.8065008190006,220.8065008190006,2025,10,4,4
2025-10-11,189.8912952568837,16979196402.761215,189.8912952568837,189.8912952568837,189.8912952568837,2025,10,4,5
2025-10-12,178.3062307703534,12825283650.402828,178.3062307703534,178.3062307703534,178.3062307703534,2025,10,4,6
2025-10-13,197.03997380287893,12182439886.806627,197.03997380287893,197.03997380287893,197.03997380287893,2025,10,4,0
2025-10-14,207.92928081408232,11548480550.997688,207.92928081408232,207.92928081408232,207.92928081408232,2025,10,4,1
